[baseline].syntagma,[baseline].stemmed,[baseline].scope,[baseline].occur_syntagma_all,[baseline].occur_repl_uniq,[baseline].occur_repl_exhausted,[baseline].occur_redu_uniq,[baseline].occur_redu_exhausted,[baseline].occur_full_syn_repl,[baseline].occur_full_syn_redu,[document].doc_id,[document].redufree_len,[word].normalized_word,[word].rle_word,[word].stemmed,[word].pos,[word].polarity,[repl].id,[repl].index_in_corpus,[repl].index_in_redufree,[repl].repl_letter,[repl].repl_length,[repl].index_of_repl,[repl].in_redu,[redu].id,[redu].index_in_corpus,[redu].index_in_redufree,[redu].orig_words,[redu].redu_length,[context].contextL5,[context].context_infoL5,[context].contextL4,[context].context_infoL4,[context].contextL3,[context].context_infoL3,[context].contextL2,[context].context_infoL2,[context].contextL1,[context].context_infoL1
pity || for || me || . || :-(,piti || for || me || . || :-(,5,1,"[2, 0, 0, 1, 1]","[4, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",,,1111,"[4, 14]",pity,pi^3t^3y^3,piti,JJ,"[""negative"", -0.1875]",8,"[1, 10]","[1, 5]",y,3,3,"[1, 5]",2,"[1, 7]","[1, 5]","{""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}",4,but,"[""CC"", null, ""but""]",it,"[""PRP"", null, ""it""]",was,"[""VBD"", null, ""was""]",also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]"
pity || for || me || . || :-(,piti || for || me || . || :-(,5,1,"[2, 0, 0, 1, 1]","[4, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",,,1111,"[4, 14]",.,.^6,.,symbol,"[""negative"", -0.1875]",9,"[1, 13]","[1, 8]",.,6,0,,,,,,,also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]",pity,"[""JJ"", {""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}, ""piti""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]"
pity || for || me || . || :-(,piti || for || me || . || :-(,5,1,"[2, 0, 0, 1, 1]","[4, 0, 0, 1, 1]","[1, 0, 0, 0, 0]","[4, 0, 0, 0, 0]",,,1111,"[4, 14]",:-(,:-(^5,:-(,EMOASC,"[""negative"", -0.1875]",10,"[1, 14]","[1, 9]",(,5,2,,,,,,,very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]",pity,"[""JJ"", {""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}, ""piti""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]",.,"[""symbol"", null, "".""]"
🌈 || 😀 || 🌈 || 😀,🌈 || 😀 || 🌈 || 😀,4,1,"[2, 2, ""IGNOR"", ""IGNOR""]","[2, 2, ""IGNOR"", ""IGNOR""]",,,,,6666,"[3, 9]",🌈,🌈^7,🌈,EMOIMG,"[""neutral"", 0.0]",60,"[1, 9]","[1, 5]",🌈,7,0,,,,,,,but,"[""NNP"", {""bu^5t"": 1, ""b^5ut"": 1}, ""but""]",you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]",you,"[""VBD"", null, ""you""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]"
🌈 || 😀 || 🌈 || 😀,🌈 || 😀 || 🌈 || 😀,4,1,"[2, 2, ""IGNOR"", ""IGNOR""]","[2, 2, ""IGNOR"", ""IGNOR""]",,,,,6666,"[3, 9]",😀,😀^5,😀,EMOIMG,"[""neutral"", 0.0]",61,"[1, 10]","[1, 6]",😀,5,0,,,,,,,you,"[""JJ"", {""yo^6u"": 1, ""y^6ou"": 1}, ""you""]",but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]",you,"[""VBD"", null, ""you""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]",🌈,"[""EMOIMG"", null, ""\ud83c\udf08""]"
🌈 || 😀 || 🌈 || 😀,🌈 || 😀 || 🌈 || 😀,4,1,"[2, 2, ""IGNOR"", ""IGNOR""]","[2, 2, ""IGNOR"", ""IGNOR""]",,,,,6666,"[3, 9]",🌈,🌈^7,🌈,EMOIMG,"[""neutral"", 0.0]",62,"[1, 11]","[1, 7]",🌈,7,0,,,,,,,but,"[""CC"", {""b^6ut"": 1, ""b^5ut"": 2}, ""but""]",you,"[""VBD"", null, ""you""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]",🌈,"[""EMOIMG"", null, ""\ud83c\udf08""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]"
🌈 || 😀 || 🌈 || 😀,🌈 || 😀 || 🌈 || 😀,4,1,"[2, 2, ""IGNOR"", ""IGNOR""]","[2, 2, ""IGNOR"", ""IGNOR""]",,,,,6666,"[3, 9]",😀,😀^5,😀,EMOIMG,"[""neutral"", 0.0]",63,"[1, 12]","[1, 8]",😀,5,0,,,,,,,you,"[""VBD"", null, ""you""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]",🌈,"[""EMOIMG"", null, ""\ud83c\udf08""]",😀,"[""EMOIMG"", null, ""\ud83d\ude00""]",🌈,"[""EMOIMG"", null, ""\ud83c\udf08""]"
"tiny || model || , || which","tini || model || , || which",4,1,"[0, 1, 0, 0]","[0, 2, 0, 0]","[1, 0, 0, 0]","[6, 0, 0, 0]",,,4444,[13],model,mo^7del^7,model,NN,"[""neutral"", 0.0]",24,"[0, 6]","[0, 1]",o,7,1,,,,,,,,,,,,,,,tiny,"[""JJ"", {""tiny"": 6}, ""tini""]"
"tiny || model || , || which","tini || model || , || which",4,1,"[0, 1, 0, 0]","[0, 2, 0, 0]","[1, 0, 0, 0]","[6, 0, 0, 0]",,,4444,[13],model,mo^7del^7,model,NN,"[""neutral"", 0.0]",25,"[0, 6]","[0, 1]",l,7,4,,,,,,,,,,,,,,,tiny,"[""JJ"", {""tiny"": 6}, ""tini""]"
"tiny || model || , || which","tini || model || , || which",4,1,"[0, 1, 0, 0]","[0, 2, 0, 0]","[1, 0, 0, 0]","[6, 0, 0, 0]",,,4444,[13],tiny,,tini,JJ,"[""neutral"", 0.0]",,,,,,,,5,"[0, 0]","[0, 0]","{""tiny"": 6}",6,,,,,,,,,,
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,bad^5,bad,JJ,"[""negative"", -0.7249999999999999]",14,"[0, 1]","[0, 1]",d,5,2,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,b^7a^6d,bad,JJ,"[""negative"", -0.7249999999999999]",15,"[0, 3]","[0, 1]",b,7,0,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,b^7a^6d,bad,JJ,"[""negative"", -0.7249999999999999]",16,"[0, 3]","[0, 1]",a,6,1,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,b^4a^4d^5,bad,JJ,"[""negative"", -0.7249999999999999]",17,"[0, 4]","[0, 1]",b,4,0,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,b^4a^4d^5,bad,JJ,"[""negative"", -0.7249999999999999]",18,"[0, 4]","[0, 1]",a,4,1,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,b^4a^4d^5,bad,JJ,"[""negative"", -0.7249999999999999]",19,"[0, 4]","[0, 1]",d,5,2,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
"a || bad || news || ,","a || bad || news || ,",4,1,"[0, 4, 0, 0]","[0, 7, 0, 0]","[0, 1, 0, 0]","[0, 5, 0, 0]",,,3333,[15],bad,ba^7d,bad,JJ,"[""negative"", -0.7249999999999999]",20,"[0, 5]","[0, 1]",a,7,1,"[0, 1]",3,"[0, 1]","[0, 1]","{""bad"": 1, ""ba^7d"": 1, ""bad^5"": 1, ""b^4a^4d^5"": 1, ""b^7a^6d"": 1}",5,,,,,,,,,a,"[""DT"", null, ""a""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",35,"[3, 0]","[3, 0]",b,5,0,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",36,"[3, 0]","[3, 0]",u,4,1,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,5555,"[8, 2, 11, 4]",but,b^5u^4t^4,but,NNP,"[""neutral"", 0.0]",37,"[3, 0]","[3, 0]",t,4,2,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,5555,"[8, 2, 11, 4]",but,bu^5t^4,but,NNP,"[""neutral"", 0.0]",38,"[3, 1]","[3, 0]",u,5,1,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,5555,"[8, 2, 11, 4]",but,bu^5t^4,but,NNP,"[""neutral"", 0.0]",39,"[3, 1]","[3, 0]",t,4,2,"[3, 0]",8,"[3, 0]","[3, 0]","{""bu^5t^4"": 1, ""b^5u^4t^4"": 1}",2,?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",1,"[""number"", null, ""1""]",.,"[""symbol"", null, "".""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,6666,"[3, 9]",but,b^5ut,but,NNP,"[""neutral"", 0.0]",50,"[1, 0]","[1, 0]",b,5,0,"[1, 0]",12,"[1, 0]","[1, 0]","{""bu^5t"": 1, ""b^5ut"": 1}",2,,,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]"
. || but,. || but,2,3,"[0, 4]","[0, 7]","[0, 2]","[0, 4]",,,6666,"[3, 9]",but,bu^5t,but,NNP,"[""neutral"", 0.0]",51,"[1, 1]","[1, 0]",u,5,1,"[1, 0]",12,"[1, 0]","[1, 0]","{""bu^5t"": 1, ""b^5ut"": 1}",2,,,,,tiny,"[""JJ"", {""tin^3y^2"": 1, ""tiny"": 2}, ""tini""]",surprise,"[""NN"", null, ""surpris""]",.,"[""symbol"", null, "".""]"
. || :-( || @real_trump,. || :-( || @real_trump,3,1,"[1, 1, 0]","[1, 1, 0]",,,,,1111,"[4, 14]",.,.^6,.,symbol,"[""negative"", -0.1875]",9,"[1, 13]","[1, 8]",.,6,0,,,,,,,also,"[""RB"", null, ""also""]",very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]",pity,"[""JJ"", {""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}, ""piti""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]"
. || :-( || @real_trump,. || :-( || @real_trump,3,1,"[1, 1, 0]","[1, 1, 0]",,,,,1111,"[4, 14]",:-(,:-(^5,:-(,EMOASC,"[""negative"", -0.1875]",10,"[1, 14]","[1, 9]",(,5,2,,,,,,,very,"[""JJ"", {""very"": 1, ""ver^4y^5"": 1, ""v^3er^8y"": 1}, ""veri""]",pity,"[""JJ"", {""pity"": 2, ""pi^3t^3y^3"": 1, ""pi^9ty"": 1}, ""piti""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]",.,"[""symbol"", null, "".""]"
about || it || ? || 1 || 😫 || 1,about || it || ? || 1 || 😫 || 1,6,1,"[0, 0, 1, 2, 1, ""IGNOR""]","[0, 0, 1, 2, 1, ""IGNOR""]",,,,,5555,"[8, 2, 11, 4]",?,?^4,?,symbol,"[""neutral"", 0.0]",31,"[2, 6]","[2, 6]",?,4,0,,,,,,,do,"[""VBP"", null, ""do""]",you,"[""PRP"", null, ""you""]",think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]"
about || it || ? || 1 || 😫 || 1,about || it || ? || 1 || 😫 || 1,6,1,"[0, 0, 1, 2, 1, ""IGNOR""]","[0, 0, 1, 2, 1, ""IGNOR""]",,,,,5555,"[8, 2, 11, 4]",1,1^6,1,number,"[""neutral"", 0.0]",32,"[2, 7]","[2, 7]",1,6,0,,,,,,,you,"[""PRP"", null, ""you""]",think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]"
about || it || ? || 1 || 😫 || 1,about || it || ? || 1 || 😫 || 1,6,1,"[0, 0, 1, 2, 1, ""IGNOR""]","[0, 0, 1, 2, 1, ""IGNOR""]",,,,,5555,"[8, 2, 11, 4]",😫,😫^4,😫,EMOIMG,"[""neutral"", 0.0]",33,"[2, 8]","[2, 8]",😫,4,0,,,,,,,think,"[""VB"", null, ""think""]",about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]"
about || it || ? || 1 || 😫 || 1,about || it || ? || 1 || 😫 || 1,6,1,"[0, 0, 1, 2, 1, ""IGNOR""]","[0, 0, 1, 2, 1, ""IGNOR""]",,,,,5555,"[8, 2, 11, 4]",1,1^8,1,number,"[""neutral"", 0.0]",34,"[2, 9]","[2, 9]",1,8,0,,,,,,,about,"[""IN"", null, ""about""]",it,"[""PRP"", null, ""it""]",?,"[""symbol"", null, ""?""]",1,"[""number"", null, ""1""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]"
explain || a || big,explain || a || big,3,1,"[0, 0, 2]","[0, 0, 2]","[0, 0, 1]","[0, 0, 2]",,,4444,[13],big,bi^3g,big,NN,"[""neutral"", 0.0]",26,"[0, 15]","[0, 10]",i,3,1,"[0, 10]",6,"[0, 15]","[0, 10]","{""bi^3g"": 1, ""bi^15g"": 1}",2,can,"[""MD"", null, ""can""]",use,"[""VB"", null, ""use""]",for,"[""IN"", null, ""for""]",explain,"[""VB"", null, ""explain""]",a,"[""DT"", null, ""a""]"
explain || a || big,explain || a || big,3,1,"[0, 0, 2]","[0, 0, 2]","[0, 0, 1]","[0, 0, 2]",,,4444,[13],big,bi^15g,big,NN,"[""neutral"", 0.0]",27,"[0, 16]","[0, 10]",i,15,1,"[0, 10]",6,"[0, 15]","[0, 10]","{""bi^3g"": 1, ""bi^15g"": 1}",2,can,"[""MD"", null, ""can""]",use,"[""VB"", null, ""use""]",for,"[""IN"", null, ""for""]",explain,"[""VB"", null, ""explain""]",a,"[""DT"", null, ""a""]"
"me || 😫 || ,","me || 😫 || ,",3,1,"[0, 1, 0]","[0, 1, 0]",,,,,7777,[19],😫,😫^4,😫,EMOIMG,"[""positive"", 0.27]",64,"[0, 7]","[0, 7]",😫,4,0,,,,,,,realy,"[""RB"", null, ""reali""]",bad,"[""JJ"", null, ""bad""]",surprise,"[""NN"", null, ""surpris""]",for,"[""IN"", null, ""for""]",me,"[""PRP"", null, ""me""]"
liked || it || :p || =) || 😀,like || it || :p || =) || 😀,5,1,"[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]",,,,,7777,[19],=),=)^10,=),EMOASC,"[""positive"", 0.27]",70,"[0, 17]","[0, 15]",),10,1,,,,,,,i,"[""PRP"", null, ""i""]",realy,"[""RB"", {""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}, ""reali""]",liked,"[""VBD"", null, ""like""]",it,"[""PRP"", null, ""it""]",:p,"[""EMOASC"", null, "":p""]"
liked || it || :p || =) || 😀,like || it || :p || =) || 😀,5,1,"[0, 0, 0, 1, 1]","[0, 0, 0, 1, 1]",,,,,7777,[19],😀,😀^5,😀,EMOIMG,"[""positive"", 0.27]",71,"[0, 18]","[0, 16]",😀,5,0,,,,,,,realy,"[""RB"", {""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}, ""reali""]",liked,"[""VBD"", null, ""like""]",it,"[""PRP"", null, ""it""]",:p,"[""EMOASC"", null, "":p""]",=),"[""EMOASC"", null, ""=)""]"
realy,reali,1,4,2,4,1,3,2,1,7777,[19],realy,real^3y,reali,RB,"[""positive"", 0.27]",66,"[0, 12]","[0, 11]",l,3,3,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
realy,reali,1,4,2,4,1,3,2,1,7777,[19],realy,re^5al^4y^3,reali,RB,"[""positive"", 0.27]",67,"[0, 13]","[0, 11]",e,5,1,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
realy,reali,1,4,2,4,1,3,2,1,7777,[19],realy,re^5al^4y^3,reali,RB,"[""positive"", 0.27]",68,"[0, 13]","[0, 11]",l,4,3,"[0, 11]",15,"[0, 11]","[0, 11]","{""realy"": 1, ""real^3y"": 1, ""re^5al^4y^3"": 1}",3,me,"[""PRP"", null, ""me""]",😫,"[""EMOIMG"", null, ""\ud83d\ude2b""]",",","[""symbol"", null, "",""]",but,"[""MD"", null, ""but""]",i,"[""PRP"", null, ""i""]"
